"workerid","modal","correct_answer","video","catch_trial_answer_correct","percentage_blue","catch_trial","color","image","speaker_cond"
2,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
2,"might",1,"orange_might_f",1,75,1,"orange","scene_orange_video_75.gif","f"
2,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
2,"might",2,"orange_might_f",1,75,1,"orange","scene_orange_video_75.gif","f"
3,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
3,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
3,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
3,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
3,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
3,"bare",2,"orange_bare_f",0,0,1,"orange","scene_orange_video_0.gif","f"
3,"probably",1,"orange_probably_f",1,40,1,"orange","scene_orange_video_40.gif","f"
3,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
3,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
3,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
3,"bare",2,"blue_bare_f",1,100,1,"blue","scene_blue_video_100.gif","f"
3,"bare",NA,"orange_bare_f",-1,0,0,"orange","scene_orange_video_0.gif","f"
3,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
3,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
3,"probably",2,"orange_probably_f",1,40,1,"orange","scene_orange_video_40.gif","f"
3,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
3,"bare",1,"blue_bare_f",1,100,1,"blue","scene_blue_video_100.gif","f"
3,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
3,"probably",1,"orange_probably_f",1,40,1,"orange","scene_orange_video_40.gif","f"
3,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
3,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
3,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
3,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
3,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
3,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
4,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
4,"might",1,"orange_might_f",0,75,1,"orange","scene_orange_video_75.gif","f"
4,"bare",NA,"orange_bare_f",-1,0,0,"orange","scene_orange_video_0.gif","f"
4,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
4,"bare",NA,"orange_bare_f",-1,0,0,"orange","scene_orange_video_0.gif","f"
4,"might",2,"blue_might_f",1,25,1,"blue","scene_blue_video_25.gif","f"
4,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
4,"probably",2,"blue_probably_f",1,60,1,"blue","scene_blue_video_60.gif","f"
4,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
4,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
4,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
4,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
4,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
4,"probably",1,"orange_probably_f",1,40,1,"orange","scene_orange_video_40.gif","f"
4,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
4,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
4,"might",2,"orange_might_f",1,75,1,"orange","scene_orange_video_75.gif","f"
4,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
4,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
4,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
4,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
4,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
4,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
4,"might",1,"blue_might_f",1,25,1,"blue","scene_blue_video_25.gif","f"
4,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
5,"bare",1,"blue_bare_f",1,100,1,"blue","scene_blue_video_100.gif","f"
5,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
5,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
5,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
5,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
5,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
5,"bare",1,"blue_bare_f",1,100,1,"blue","scene_blue_video_100.gif","f"
