"catch_trial","correct_answer","modal","workerid","image","percentage_blue","color","catch_trial_answer_correct","video","speaker_cond"
1,2,"might",5,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",5,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"bare",5,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
1,1,"probably",5,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"bare",5,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"probably",5,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",5,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",5,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",5,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",5,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"probably",5,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",5,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",5,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",5,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",5,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"probably",6,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",6,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",6,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",6,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,2,"might",6,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
0,NA,"might",6,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",6,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,2,"probably",6,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"probably",6,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",6,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",6,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",6,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",6,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"might",6,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
1,2,"probably",6,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
1,2,"might",6,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
0,NA,"bare",6,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"bare",6,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",6,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
1,1,"probably",6,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",6,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
1,2,"probably",6,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",6,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"bare",6,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"probably",6,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"probably",7,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"might",7,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",7,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",7,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"bare",7,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
1,2,"probably",7,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"probably",7,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",7,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"bare",7,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"bare",7,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"bare",7,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",7,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",7,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",7,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",7,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,2,"might",7,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"probably",7,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"might",7,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
0,NA,"might",7,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",7,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
