workerid,rating2,pair,rating1,rating_other,modal2,modal1,percentage_blue,speaker,sentence1,sentence2,post_exposure,reverse_sent_order,speaker_type,color
0,1,"""might-probably""",0,0,"""probably""","""might""",60,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",90,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",0,1,"""probably""","""might""",100,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",0,1,"""probably""","""might""",100,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0.5,"""might-probably""",0.5,0,"""probably""","""might""",60,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",40,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",90,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",0,1,"""probably""","""might""",0,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",0,1,"""probably""","""might""",0,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",40,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",40,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",0,1,"""probably""","""might""",100,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",25,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,1,"""might-probably""",0,0,"""probably""","""might""",90,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,1,"""might-probably""",0,0,"""probably""","""might""",25,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",50,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",75,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",0,1,"""probably""","""might""",0,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",40,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",10,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",60,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",90,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",75,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",10,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0.99,"""might-probably""",0,0,"""probably""","""might""",25,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",0,1,"""probably""","""might""",0,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",10,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",75,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0.48,"""might-probably""",0.52,0,"""probably""","""might""",50,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",60,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",0,1,"""probably""","""might""",100,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0.2899999999999999,"""might-probably""",0.71,0,"""probably""","""might""",50,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0.72,"""might-probably""",0.2799999999999999,0,"""probably""","""might""",50,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",25,"""m""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""confident""","""blue"""
0,1,"""might-probably""",0,0,"""probably""","""might""",10,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",75,"""m""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""confident""","""orange"""
0,0,"""might-probably""",0,1,"""probably""","""might""",100,"""f""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""cautious""","""blue"""
0,0,"""might-probably""",0,1,"""probably""","""might""",0,"""f""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""cautious""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",25,"""f""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""cautious""","""blue"""
0,1,"""might-probably""",0,0,"""probably""","""might""",25,"""f""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""cautious""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",40,"""f""","""You might get a blue one""","""You&quotecharll probably get a blue one""",1,0,"""cautious""","""blue"""
0,0,"""might-probably""",1,0,"""probably""","""might""",90,"""f""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""cautious""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",60,"""f""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""cautious""","""orange"""
0,1,"""might-probably""",0,0,"""probably""","""might""",10,"""f""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""cautious""","""orange"""
0,0,"""might-probably""",1,0,"""probably""","""might""",90,"""f""","""You might get an orange one""","""You&quotecharll probably get an orange one""",1,0,"""cautious""","""orange"""
