"workerid","catch_trial","color","image","show_cross","percentage_blue","video","modal","catch_trial_answer_correct","speaker_cond"
2,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
3,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
3,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
3,1,"""orange""","""scene_orange_video_0.gif""","false","""0""","""orange_bare_f""","""bare""",1,"f"
3,1,"""orange""","""scene_orange_video_10.gif""","false","""10""","""orange_probably_f""","""probably""",1,"f"
3,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
3,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
3,1,"""blue""","""scene_blue_video_90.gif""","false","""90""","""blue_probably_f""","""probably""",1,"f"
3,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
3,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
3,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_f""","""might""",1,"f"
3,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
3,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
3,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
3,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
3,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
3,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
3,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
3,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
3,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
3,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
4,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
4,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
4,1,"""blue""","""scene_blue_video_90.gif""","false","""90""","""blue_probably_f""","""probably""",0,"f"
4,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
4,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
4,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
4,1,"""orange""","""scene_orange_video_0.gif""","true","""0""","""orange_bare_f""","""bare""",1,"f"
4,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
4,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
4,1,"""blue""","""scene_blue_video_100.gif""","true","""100""","""blue_bare_f""","""bare""",1,"f"
4,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
4,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
4,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
4,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
4,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
4,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
4,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_f""","""might""",0,"f"
4,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
4,1,"""orange""","""scene_orange_video_0.gif""","true","""0""","""orange_bare_f""","""bare""",1,"f"
4,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
5,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_f""","""might""",1,"f"
5,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
5,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",0,"f"
5,1,"""orange""","""scene_orange_video_10.gif""","false","""10""","""orange_probably_f""","""probably""",1,"f"
5,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
5,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
5,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_f""","""might""",1,"f"
5,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
5,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
5,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
5,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
5,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
5,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
5,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
5,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
5,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
5,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
5,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
5,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
5,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
6,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
6,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
6,1,"""blue""","""scene_blue_video_90.gif""","false","""90""","""blue_probably_f""","""probably""",1,"f"
6,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
6,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
6,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
6,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
6,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
6,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
6,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
6,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
6,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
6,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
6,1,"""blue""","""scene_blue_video_100.gif""","true","""100""","""blue_bare_f""","""bare""",0,"f"
6,1,"""orange""","""scene_orange_video_0.gif""","false","""0""","""orange_bare_f""","""bare""",1,"f"
6,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
6,1,"""orange""","""scene_orange_video_40.gif""","false","""40""","""orange_might_f""","""might""",1,"f"
6,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
6,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_might_f""","""might""",0,"f"
6,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",0,"f"
7,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
7,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
7,1,"""orange""","""scene_orange_video_10.gif""","false","""10""","""orange_probably_f""","""probably""",1,"f"
7,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
7,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
7,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
7,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",0,"f"
7,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
7,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
7,1,"""orange""","""scene_orange_video_0.gif""","false","""0""","""orange_bare_f""","""bare""",1,"f"
7,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
7,1,"""orange""","""scene_orange_video_40.gif""","false","""40""","""orange_might_f""","""might""",1,"f"
7,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
7,1,"""orange""","""scene_orange_video_0.gif""","false","""0""","""orange_bare_f""","""bare""",1,"f"
7,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
7,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
7,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
7,1,"""orange""","""scene_orange_video_10.gif""","false","""10""","""orange_probably_f""","""probably""",1,"f"
7,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
7,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
8,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
8,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",0,"f"
8,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
8,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_f""","""might""",1,"f"
8,1,"""blue""","""scene_blue_video_100.gif""","false","""100""","""blue_bare_f""","""bare""",1,"f"
8,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
8,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
8,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
8,1,"""orange""","""scene_orange_video_40.gif""","false","""40""","""orange_might_f""","""might""",1,"f"
8,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
8,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
8,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
8,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
8,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
8,1,"""blue""","""scene_blue_video_90.gif""","true","""90""","""blue_probably_f""","""probably""",1,"f"
8,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
8,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
8,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
8,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
8,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
9,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_f""","""might""",1,"f"
9,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
9,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
9,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
9,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_might_f""","""might""",1,"f"
9,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
9,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
9,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
9,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
9,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
9,1,"""orange""","""scene_orange_video_0.gif""","true","""0""","""orange_bare_f""","""bare""",1,"f"
9,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
9,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
9,1,"""orange""","""scene_orange_video_0.gif""","true","""0""","""orange_bare_f""","""bare""",1,"f"
9,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
9,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_might_f""","""might""",1,"f"
9,1,"""orange""","""scene_orange_video_0.gif""","true","""0""","""orange_bare_f""","""bare""",0,"f"
9,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
9,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
9,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
